date,y_true,q10,q50,q90,evaluation_fold,lower,upper,alpha_t,method,tmax_f,precipitation_in,prior_day_tmax_f,prior_day_precipitation_in,raw_qr_width,aci_width,aci_one_sided_correction,lower_qr_spread,upper_qr_spread,spread_asymmetry,covered,lower_miss,upper_miss,temperature_group,prior_day_wet,predicted_demand_group,uncertainty_group,season
2024-02-17,14.58,14.190435113363517,14.55413479097978,15.060580869400924,5.0,14.006920623283914,15.244095359480523,0.2280000000000002,Two-sided ACI,36,0.01,36.0,0.11,0.8701457560374077,1.237174736196609,0.18351449007960063,0.363699677616264,0.5064460784211438,0.14274640080487977,True,False,False,Coolest 20%,Wet prior day,20–40%,Remaining 90%,Winter
2024-02-18,14.41,13.031619667519852,14.288767590223532,14.953731726441989,5.0,12.897528001508164,15.087823392453677,0.2320000000000002,Two-sided ACI,47,0.0,36.0,0.01,1.9221120589221368,2.190295390945513,0.1340916660116882,1.2571479227036804,0.6649641362184564,-0.592183786485224,True,False,False,Coolest 20%,Wet prior day,20–40%,Remaining 90%,Winter
2024-02-19,14.91,13.28762054553892,14.949849377203716,16.37065442584423,5.0,13.15796098835442,16.50031398302873,0.2360000000000002,Two-sided ACI,55,0.0,47.0,0.0,3.08303388030531,3.342352994674309,0.12965955718449962,1.6622288316647964,1.4208050486405135,-0.2414237830242829,True,False,False,Coolest 20%,Dry prior day,40–60%,Remaining 90%,Winter
2024-02-20,15.53,13.624207772623064,14.721655240870946,15.272399495248957,5.0,13.494548215438565,15.402059052433456,0.2400000000000002,Two-sided ACI,66,0.0,55.0,0.0,1.6481917226258922,1.9075108369948914,0.12965955718449962,1.097447468247882,0.5507442543780101,-0.546703213869872,False,False,True,20–40%,Dry prior day,40–60%,Remaining 90%,Winter
2024-02-21,15.06,15.0316406465914,15.221100982933068,15.852271254724103,5.0,14.840100585398377,16.04381131591713,0.2240000000000002,Two-sided ACI,51,0.0,66.0,0.0,0.8206306081327028,1.2037107305187522,0.1915400611930247,0.1894603363416678,0.631170271791035,0.4417099354493672,True,False,False,40–60%,Dry prior day,40–60%,Remaining 90%,Winter
2024-02-22,15.14,14.029180202909153,14.958048421187216,15.236314474647902,5.0,13.84566571282955,15.419828964727504,0.2280000000000002,Two-sided ACI,50,0.1,51.0,0.0,1.2071342717387488,1.5741632518979536,0.1835144900796024,0.9288682182780637,0.2782660534606851,-0.6506021648173785,True,False,False,20–40%,Dry prior day,40–60%,Remaining 90%,Winter
2024-02-23,15.0,14.21080525789236,14.396762887600024,14.957392506743656,5.0,14.08114570070786,15.087052063928155,0.2320000000000002,Two-sided ACI,55,0.0,50.0,0.1,0.746587248851295,1.0059063632202943,0.12965955718449962,0.18595762970766394,0.5606296191436311,0.37467198943596713,True,False,False,20–40%,Wet prior day,20–40%,Remaining 90%,Winter
2024-02-24,14.76,14.453321916212918,14.955205576534818,15.542671099392416,5.0,14.341532513567763,15.65446050203757,0.2360000000000002,Two-sided ACI,61,0.0,55.0,0.0,1.0893491831794986,1.3129279884698057,0.11178940264515358,0.5018836603218997,0.5874655228575989,0.08558186253569922,True,False,False,20–40%,Dry prior day,40–60%,Remaining 90%,Winter
2024-02-25,15.33,14.465208268375871,14.734909596323098,15.35044565894644,5.0,14.35341886573072,15.462235061591594,0.2400000000000002,Two-sided ACI,65,0.0,61.0,0.0,0.8852373905705679,1.1088161958608733,0.11178940264515269,0.26970132794722623,0.6155360626233417,0.3458347346761155,True,False,False,40–60%,Dry prior day,40–60%,Remaining 90%,Winter
2024-02-26,15.04,14.993506659720678,15.55058710778628,16.543125320366173,5.0,14.898077975392647,16.638554004694203,0.2440000000000002,Two-sided ACI,65,0.0,65.0,0.0,1.5496186606454945,1.740476029301556,0.09542868432803076,0.5570804480656015,0.9925382125798929,0.4354577645142914,True,False,False,40–60%,Dry prior day,40–60%,Remaining 90%,Winter
